[TOP PAGE] /	GET	L318	0.007143	L321	0.000859	L325	0.018693	L329	
[TOP PAGE] /	GET	L318	0.006401	L321	0.000590	L325	0.027180	L329	
[TOP PAGE] /	GET	L318	0.005312	L321	0.001978	L325	0.083853	L329	
[TOP PAGE] /	GET	L318	0.005078	L321	0.000751	L325	0.038388	L329	
[TOP PAGE] /	GET	L318	0.010110	L321	0.000783	L325	0.025501	L329	
[TOP PAGE] /	GET	L318	0.013717	L321	0.000981	L325	0.055463	L329	
[TOP PAGE] /	GET	L318	0.015487	L321	0.005750	L325	0.067368	L329	
[TOP PAGE] /	GET	L318	0.007233	L321	0.000433	L325	0.034981	L329	
[TOP PAGE] /	GET	L318	0.011145	L321	0.000730	L325	0.038785	L329	
[TOP PAGE] /	GET	L318	0.010575	L321	0.003113	L325	0.054011	L329	
[TOP PAGE] /	GET	L318	0.012038	L321	0.001684	L325	0.055177	L329	
[TOP PAGE] /	GET	L318	0.008507	L321	0.000644	L325	0.042464	L329	
[TOP PAGE] /	GET	L318	0.011577	L321	0.003674	L325	0.057810	L329	
[TOP PAGE] /	GET	L318	0.012470	L321	0.000457	L325	0.014794	L329	
[TOP PAGE] /	GET	L318	0.009705	L321	0.000595	L325	0.005161	L329	
[TOP PAGE] /	GET	L318	0.015711	L321	0.001154	L325	0.024038	L329	
[TOP PAGE] /	GET	L318	0.010072	L321	0.000846	L325	0.028668	L329	
[TOP PAGE] /	GET	L318	0.009080	L321	0.000637	L325	0.030128	L329	
[TOP PAGE] /	GET	L318	0.007681	L321	0.000719	L325	0.018522	L329	
[TOP PAGE] /	GET	L318	0.014030	L321	0.000761	L325	0.018027	L329	
[TOP PAGE] /	GET	L318	0.006703	L321	0.001110	L325	0.023571	L329	
[TOP PAGE] /	GET	L318	0.009958	L321	0.001211	L325	0.035153	L329	
[TOP PAGE] /	GET	L318	0.020401	L321	0.003036	L325	0.098804	L329	
[TOP PAGE] /	GET	L318	0.011939	L321	0.001027	L325	0.023530	L329	
[TOP PAGE] /	GET	L318	0.010615	L321	0.000820	L325	0.041573	L329	
[TOP PAGE] /	GET	L318	0.014390	L321	0.000570	L325	0.037911	L329	
[TOP PAGE] /	GET	L318	0.011276	L321	0.001289	L325	0.074959	L329	
[TOP PAGE] /	GET	L318	0.022458	L321	0.001507	L325	0.057371	L329	
[TOP PAGE] /	GET	L318	0.008705	L321	0.000634	L325	0.012251	L329	
[TOP PAGE] /	GET	L318	0.009750	L321	0.003573	L325	0.038976	L329	
[TOP PAGE] /	GET	L318	0.018980	L321	0.003919	L325	0.054604	L329	
[TOP PAGE] /	GET	L318	0.022347	L321	0.002933	L325	0.050741	L329	
[TOP PAGE] /	GET	L318	0.007452	L321	0.000746	L325	0.028107	L329	
[TOP PAGE] /	GET	L318	0.048322	L321	0.002120	L325	0.025145	L329	
[TOP PAGE] /	GET	L318	0.008925	L321	0.001097	L325	0.011162	L329	
[TOP PAGE] /	GET	L318	0.008867	L321	0.000675	L325	0.054953	L329	
[TOP PAGE] /	GET	L318	0.010555	L321	0.001839	L325	0.033638	L329	
[TOP PAGE] /	GET	L318	0.042053	L321	0.000916	L325	0.061220	L329	
[TOP PAGE] /	GET	L318	0.011042	L321	0.000693	L325	0.077940	L329	
[TOP PAGE] /	GET	L318	0.009381	L321	0.001425	L325	0.042569	L329	
[TOP PAGE] /	GET	L318	0.011985	L321	0.002031	L325	0.044957	L329	
[TOP PAGE] /	GET	L318	0.010024	L321	0.002493	L325	0.068276	L329	
[TOP PAGE] /	GET	L318	0.021830	L321	0.003116	L325	0.132240	L329	
[TOP PAGE] /	GET	L318	0.009349	L321	0.001394	L325	0.018559	L329	
[TOP PAGE] /	GET	L318	0.011366	L321	0.000708	L325	0.020818	L329	
[TOP PAGE] /	GET	L318	0.013204	L321	0.001209	L325	0.045883	L329	
[TOP PAGE] /	GET	L318	0.025428	L321	0.001047	L325	0.029307	L329	
[TOP PAGE] /	GET	L318	0.010409	L321	0.000826	L325	0.079299	L329	
[TOP PAGE] /	GET	L318	0.007613	L321	0.013736	L325	0.118626	L329	
[TOP PAGE] /	GET	L318	0.014995	L321	0.002100	L325	0.042754	L329	
[TOP PAGE] /	GET	L318	0.006500	L321	0.000599	L325	0.012855	L329	
[TOP PAGE] /	GET	L318	0.019968	L321	0.001143	L325	0.037883	L329	
[TOP PAGE] /	GET	L318	0.019662	L321	0.000831	L325	0.093788	L329	
[TOP PAGE] /	GET	L318	0.010934	L321	0.001021	L325	0.036751	L329	
[TOP PAGE] /	GET	L318	0.007683	L321	0.000717	L325	0.038308	L329	
[TOP PAGE] /	GET	L318	0.014574	L321	0.002419	L325	0.048410	L329	
[TOP PAGE] /	GET	L318	0.012591	L321	0.000660	L325	0.020454	L329	
[TOP PAGE] /	GET	L318	0.011426	L321	0.000639	L325	0.025292	L329	
[TOP PAGE] /	GET	L318	0.013067	L321	0.000624	L325	0.027183	L329	
[TOP PAGE] /	GET	L318	0.009341	L321	0.000945	L325	0.059758	L329	
[TOP PAGE] /	GET	L318	0.011737	L321	0.013452	L325	0.058680	L329	
[TOP PAGE] /	GET	L318	0.019860	L321	0.000640	L325	0.011247	L329	
[TOP PAGE] /	GET	L318	0.014313	L321	0.000737	L325	0.093736	L329	
[TOP PAGE] /	GET	L318	0.029076	L321	0.000690	L325	0.096198	L329	
[TOP PAGE] /	GET	L318	0.007204	L321	0.000376	L325	0.038006	L329	
[TOP PAGE] /	GET	L318	0.012595	L321	0.001259	L325	0.038279	L329	
[TOP PAGE] /	GET	L318	0.004177	L321	0.006082	L325	0.039796	L329	
[TOP PAGE] /	GET	L318	0.003493	L321	0.000354	L325	0.005414	L329	
[TOP PAGE] /	GET	L318	0.003345	L321	0.000292	L325	0.006380	L329	
[TOP PAGE] /	GET	L318	0.003788	L321	0.000461	L325	0.009097	L329	
[TOP PAGE] /	GET	L318	0.005425	L321	0.001332	L325	0.024246	L329	
[TOP PAGE] /	GET	L318	0.004101	L321	0.000630	L325	0.007180	L329	
[TOP PAGE] /	GET	L318	0.003312	L321	0.000438	L325	0.006395	L329	
[TOP PAGE] /	GET	L318	0.005109	L321	0.002552	L325	0.027202	L329	
[TOP PAGE] /	GET	L318	0.005164	L321	0.000582	L325	0.019349	L329	
[TOP PAGE] /	GET	L318	0.004492	L321	0.001275	L325	0.033052	L329	
[TOP PAGE] /	GET	L318	0.004016	L321	0.000710	L325	0.022051	L329	
[TOP PAGE] /	GET	L318	0.005869	L321	0.001134	L325	0.040787	L329	
[TOP PAGE] /	GET	L318	0.003948	L321	0.000706	L325	0.018416	L329	
[TOP PAGE] /	GET	L318	0.007709	L321	0.005451	L325	0.052692	L329	
[TOP PAGE] /	GET	L318	0.005613	L321	0.001429	L325	0.038242	L329	
[TOP PAGE] /	GET	L318	0.005088	L321	0.000414	L325	0.010696	L329	
[TOP PAGE] /	GET	L318	0.009528	L321	0.010936	L325	0.005477	L329	
[TOP PAGE] /	GET	L318	0.009243	L321	0.010231	L325	0.051287	L329	
[TOP PAGE] /	GET	L318	0.008294	L321	0.000547	L325	0.005616	L329	
[TOP PAGE] /	GET	L318	0.005807	L321	0.002797	L325	0.016683	L329	
[TOP PAGE] /	GET	L318	0.004036	L321	0.000515	L325	0.027641	L329	
[TOP PAGE] /	GET	L318	0.010789	L321	0.002859	L325	0.040289	L329	
[TOP PAGE] /	GET	L318	0.006780	L321	0.000828	L325	0.032848	L329	
[TOP PAGE] /	GET	L318	0.017651	L321	0.000513	L325	0.022276	L329	
[TOP PAGE] /	GET	L318	0.012236	L321	0.000778	L325	0.038900	L329	
[TOP PAGE] /	GET	L318	0.004105	L321	0.000828	L325	0.055068	L329	
[TOP PAGE] /	GET	L318	0.019447	L321	0.002217	L325	0.041994	L329	
[TOP PAGE] /	GET	L318	0.004049	L321	0.001097	L325	0.047990	L329	
[TOP PAGE] /	GET	L318	0.004891	L321	0.000290	L325	0.005275	L329	
[TOP PAGE] /	GET	L318	0.003039	L321	0.000298	L325	0.005562	L329	
[TOP PAGE] /	GET	L318	0.003575	L321	0.000342	L325	0.006580	L329	
[TOP PAGE] /	GET	L318	0.002727	L321	0.000291	L325	0.005568	L329	
[TOP PAGE] /	GET	L318	0.004619	L321	0.001089	L325	0.024289	L329	
[TOP PAGE] /	GET	L318	0.003586	L321	0.000468	L325	0.011219	L329	
[TOP PAGE] /	GET	L318	0.003786	L321	0.001858	L325	0.010832	L329	
[TOP PAGE] /	GET	L318	0.007802	L321	0.000719	L325	0.024044	L329	
[TOP PAGE] /	GET	L318	0.008578	L321	0.006867	L325	0.041643	L329	
[TOP PAGE] /	GET	L318	0.006768	L321	0.000961	L325	0.051730	L329	
[TOP PAGE] /	GET	L318	0.033163	L321	0.001064	L325	0.029956	L329	
[TOP PAGE] /	GET	L318	0.013566	L321	0.009705	L325	0.006621	L329	
[TOP PAGE] /	GET	L318	0.011636	L321	0.001228	L325	0.014635	L329	
[TOP PAGE] /	GET	L318	0.008980	L321	0.001668	L325	0.017562	L329	
[TOP PAGE] /	GET	L318	0.012779	L321	0.005230	L325	0.019788	L329	
[TOP PAGE] /	GET	L318	0.018431	L321	0.001057	L325	0.035319	L329	
[TOP PAGE] /	GET	L318	0.005567	L321	0.001037	L325	0.106848	L329	
[TOP PAGE] /	GET	L318	0.005840	L321	0.001282	L325	0.022316	L329	
[TOP PAGE] /	GET	L318	0.016120	L321	0.002289	L325	0.075447	L329	
[TOP PAGE] /	GET	L318	0.020065	L321	0.002379	L325	0.076669	L329	
[TOP PAGE] /	GET	L318	0.018993	L321	0.004911	L325	0.079934	L329	
[TOP PAGE] /	GET	L318	0.004645	L321	0.001230	L325	0.051285	L329	
[TOP PAGE] /	GET	L318	0.012840	L321	0.001783	L325	0.089154	L329	
[TOP PAGE] /	GET	L318	0.009501	L321	0.003463	L325	0.045214	L329	
[TOP PAGE] /	GET	L318	0.006515	L321	0.000402	L325	0.028608	L329	
[TOP PAGE] /	GET	L318	0.020850	L321	0.006186	L325	0.090109	L329	
[TOP PAGE] /	GET	L318	0.014980	L321	0.000859	L325	0.033644	L329	
[TOP PAGE] /	GET	L318	0.013734	L321	0.000857	L325	0.028251	L329	
[TOP PAGE] /	GET	L318	0.004916	L321	0.000325	L325	0.150050	L329	
[TOP PAGE] /	GET	L318	0.009856	L321	0.002222	L325	0.064093	L329	
[TOP PAGE] /	GET	L318	0.009007	L321	0.000302	L325	0.043533	L329	
[TOP PAGE] /	GET	L318	0.015153	L321	0.002108	L325	0.049975	L329	
[TOP PAGE] /	GET	L318	0.008243	L321	0.002418	L325	0.039249	L329	
[TOP PAGE] /	GET	L318	0.049893	L321	0.013634	L325	0.149719	L329	
[TOP PAGE] /	GET	L318	0.005741	L321	0.000405	L325	0.054507	L329	
[TOP PAGE] /	GET	L318	0.012797	L321	0.002183	L325	0.019525	L329	
[TOP PAGE] /	GET	L318	0.024353	L321	0.002209	L325	0.058126	L329	
[TOP PAGE] /	GET	L318	0.013847	L321	0.000637	L325	0.053414	L329	
[TOP PAGE] /	GET	L318	0.023821	L321	0.001052	L325	0.055783	L329	
[TOP PAGE] /	GET	L318	0.015205	L321	0.000816	L325	0.023333	L329	
[TOP PAGE] /	GET	L318	0.027986	L321	0.000491	L325	0.067758	L329	
[TOP PAGE] /	GET	L318	0.009970	L321	0.009700	L325	0.062921	L329	
[TOP PAGE] /	GET	L318	0.009773	L321	0.006671	L325	0.070025	L329	
[TOP PAGE] /	GET	L318	0.010006	L321	0.000778	L325	0.042360	L329	
[TOP PAGE] /	GET	L318	0.008503	L321	0.000696	L325	0.039158	L329	
[TOP PAGE] /	GET	L318	0.020728	L321	0.001559	L325	0.017395	L329	
[TOP PAGE] /	GET	L318	0.024303	L321	0.001089	L325	0.058807	L329	
[TOP PAGE] /	GET	L318	0.013981	L321	0.001597	L325	0.051927	L329	
[TOP PAGE] /	GET	L318	0.032771	L321	0.001344	L325	0.037511	L329	
[TOP PAGE] /	GET	L318	0.014622	L321	0.001578	L325	0.020892	L329	
[TOP PAGE] /	GET	L318	0.022225	L321	0.017675	L325	0.141928	L329	
[TOP PAGE] /	GET	L318	0.006804	L321	0.000285	L325	0.021265	L329	
[TOP PAGE] /	GET	L318	0.005834	L321	0.009960	L325	0.106354	L329	
[TOP PAGE] /	GET	L318	0.012209	L321	0.001206	L325	0.069393	L329	
[TOP PAGE] /	GET	L318	0.018725	L321	0.002065	L325	0.090668	L329	
[TOP PAGE] /	GET	L318	0.011441	L321	0.000659	L325	0.090373	L329	
[TOP PAGE] /	GET	L318	0.009084	L321	0.000701	L325	0.034000	L329	
[TOP PAGE] /	GET	L318	0.011244	L321	0.000630	L325	0.091494	L329	
[TOP PAGE] /	GET	L318	0.012231	L321	0.003973	L325	0.075009	L329	
[TOP PAGE] /	GET	L318	0.040498	L321	0.001342	L325	0.148355	L329	
[TOP PAGE] /	GET	L318	0.012109	L321	0.002502	L325	0.070507	L329	
[TOP PAGE] /	GET	L318	0.010092	L321	0.000820	L325	0.019323	L329	
[TOP PAGE] /	GET	L318	0.023759	L321	0.001856	L325	0.122534	L329	
[TOP PAGE] /	GET	L318	0.010608	L321	0.000342	L325	0.005633	L329	
[TOP PAGE] /	GET	L318	0.015839	L321	0.000642	L325	0.007128	L329	
[TOP PAGE] /	GET	L318	0.015662	L321	0.000763	L325	0.030792	L329	
[TOP PAGE] /	GET	L318	0.007940	L321	0.000906	L325	0.019780	L329	
[TOP PAGE] /	GET	L318	0.015283	L321	0.000482	L325	0.025608	L329	
[TOP PAGE] /	GET	L318	0.006083	L321	0.001695	L325	0.047384	L329	
[TOP PAGE] /	GET	L318	0.011515	L321	0.000821	L325	0.038456	L329	
[TOP PAGE] /	GET	L318	0.031761	L321	0.003381	L325	0.046144	L329	
[TOP PAGE] /	GET	L318	0.011569	L321	0.001503	L325	0.056683	L329	
[TOP PAGE] /	GET	L318	0.008301	L321	0.003886	L325	0.039316	L329	
[TOP PAGE] /	GET	L318	0.005895	L321	0.000412	L325	0.024192	L329	
[TOP PAGE] /	GET	L318	0.007338	L321	0.000817	L325	0.019539	L329	
[TOP PAGE] /	GET	L318	0.011342	L321	0.001221	L325	0.052924	L329	
[TOP PAGE] /	GET	L318	0.011385	L321	0.000870	L325	0.059730	L329	
[TOP PAGE] /	GET	L318	0.012803	L321	0.000902	L325	0.040218	L329	
[TOP PAGE] /	GET	L318	0.029042	L321	0.000608	L325	0.025411	L329	
[TOP PAGE] /	GET	L318	0.019009	L321	0.003420	L325	0.061361	L329	
[TOP PAGE] /	GET	L318	0.013151	L321	0.001443	L325	0.048305	L329	
[TOP PAGE] /	GET	L318	0.010231	L321	0.001042	L325	0.034331	L329	
[TOP PAGE] /	GET	L318	0.013154	L321	0.003688	L325	0.058137	L329	
[TOP PAGE] /	GET	L318	0.008938	L321	0.000653	L325	0.007774	L329	
[TOP PAGE] /	GET	L318	0.008803	L321	0.001683	L325	0.025634	L329	
[TOP PAGE] /	GET	L318	0.029331	L321	0.001894	L325	0.080532	L329	
[TOP PAGE] /	GET	L318	0.008195	L321	0.001235	L325	0.121117	L329	
[TOP PAGE] /	GET	L318	0.010675	L321	0.000477	L325	0.007076	L329	
[TOP PAGE] /	GET	L318	0.010056	L321	0.003219	L325	0.015037	L329	
[TOP PAGE] /	GET	L318	0.008971	L321	0.000651	L325	0.007056	L329	
[TOP PAGE] /	GET	L318	0.011516	L321	0.000627	L325	0.048626	L329	
[TOP PAGE] /	GET	L318	0.010553	L321	0.002021	L325	0.017791	L329	
[TOP PAGE] /	GET	L318	0.010228	L321	0.002011	L325	0.060519	L329	
[TOP PAGE] /	GET	L318	0.011530	L321	0.000763	L325	0.017761	L329	
[TOP PAGE] /	GET	L318	0.024801	L321	0.000684	L325	0.016697	L329	
[TOP PAGE] /	GET	L318	0.008474	L321	0.001188	L325	0.044477	L329	
[TOP PAGE] /	GET	L318	0.011617	L321	0.000724	L325	0.017178	L329	
[TOP PAGE] /	GET	L318	0.022303	L321	0.001102	L325	0.056138	L329	
[TOP PAGE] /	GET	L318	0.009305	L321	0.000488	L325	0.006030	L329	
[TOP PAGE] /	GET	L318	0.018057	L321	0.000437	L325	0.027006	L329	
[TOP PAGE] /	GET	L318	0.014632	L321	0.000585	L325	0.057918	L329	
